Date,Open,High,Low,Close,Vol
4/22/2013,46843000,47181000,47295000,46678000,39690
4/23/2013,47369000,47059000,47548000,46913000,34010
4/24/2013,47289000,47448000,47575000,47289000,32850
4/25/2013,47659000,47487000,47780000,47429000,37110
4/26/2013,47451000,47704000,47912000,47443000,31270
5/2/2013,47302000,47454000,47642000,47216000,25840
5/3/2013,47524000,47114000,47524000,47081000,26290
5/6/2013,48832000,47894000,48832000,47894000,52990
5/7/2013,48558000,48935000,49156000,48439000,58060
5/8/2013,48507000,48674000,48804000,48303000,63520
5/9/2013,48622000,48544000,48857000,48520000,101300
5/10/2013,48610000,48810000,49076000,48475000,85570
5/13/2013,48893000,48696000,49038000,48696000,45490
5/14/2013,48385000,48694000,48745000,48079000,46530
5/15/2013,48597000,48282000,48752000,48180000,37550
5/16/2013,49034000,48600000,49144000,48528000,49810
5/17/2013,48760000,48999000,49185000,48760000,50050
5/20/2013,49227000,48771000,49296000,48542000,48670
5/21/2013,50018000,49609000,50260000,49595000,88740
5/22/2013,50223000,50323000,50468000,50144000,66880
5/23/2013,49822000,50115000,50658000,49822000,80020
5/24/2013,50024000,49877000,50360000,49596000,62520
5/27/2013,51241000,50438000,51608000,50438000,93330
5/28/2013,51633000,51562000,51797000,51281000,87430
5/29/2013,51509000,51791000,52036000,51131000,99720
5/30/2013,52145000,51718000,52145000,51368000,75590
5/31/2013,51839000,52658000,52658000,51839000,150130
6/3/2013,51703000,51830000,52135000,51664000,75930
6/4/2013,51069000,51703000,52196000,51069000,78930
6/5/2013,51464000,51237000,51464000,50886000,56290
6/6/2013,52090000,51343000,52128000,51316000,72250
6/7/2013,52797000,52321000,52797000,52319000,74550
6/10/2013,52456000,53097000,53315000,52456000,94170
6/11/2013,52195000,52520000,52568000,52094000,68050
6/12/2013,51824000,52121000,52491000,51824000,70560
6/13/2013,51509000,51828000,51954000,51007000,62540
6/14/2013,50903000,51714000,51800000,50903000,60670
6/17/2013,49852000,51052000,51123000,49831000,75810
6/18/2013,49888000,49706000,50054000,49550000,55770
6/19/2013,50337000,50158000,50411000,50061000,43060
6/20/2013,49951000,50222000,50375000,49855000,49470
6/21/2013,49884000,49730000,50125000,49523000,94150
6/24/2013,48974000,50044000,50114000,48741000,58310
6/25/2013,47302000,48704000,48855000,46678000,86820
6/26/2013,47353000,47326000,47647000,46641000,66680
6/27/2013,48295000,47633000,48295000,47500000,46020
6/28/2013,48113000,48484000,48594000,47994000,62410
7/1/2013,48004000,47898000,48203000,47526000,35060
7/2/2013,48984000,48072000,49014000,48072000,37840
7/3/2013,48735000,48984000,49293000,48711000,45910
7/4/2013,48722000,48923000,49065000,48649000,39430
