TradingDate;Open;High;Low;Close;Volume
2021-04-26;125125000;125125000;121414000;121577000;74495000
2021-04-27;121384000;122096000;120414000;121975000;61817000
2021-04-28;122026000;123091000;121749000;122955000;61270000
2021-04-29;123491000;123939000;123125000;123939000;64716000
2021-05-04;122208000;124280000;121256000;124220000;79849000
2021-05-05;124469000;126593000;124469000;125643000;74443000
2021-05-06;125542000;126149000;124664000;125057000;73050000
2021-05-07;124548000;125050000;123192000;124181000;78304000
2021-05-10;123996000;125958000;123685000;125958000;77306000
2021-05-11;126511000;127255000;125604000;125604000;77009000
2021-05-12;125197000;126909000;124918000;126909000;70067000
2021-05-13;126298000;127349000;126199000;126199000;71152000
2021-05-14;126643000;127145000;125997000;126636000;73099000
2021-05-17;127255000;127783000;125850000;125870000;75829000
2021-05-18;125957000;126222000;124902000;125268000;69248000
2021-05-19;125478000;126271000;125058000;126249000;69435000
2021-05-20;126462000;127822000;125578000;127822000;74521000
2021-05-21;127284000;128903000;126846000;128393000;69893000
2021-05-24;128750000;129983000;128736000;129798000;71551000
2021-05-25;129919000;130858000;129723000;130858000;67906000
2021-05-26;130804000;131730000;130468000;131670000;71307000
2021-05-27;131842000;131967000;129999000;130357000;73300000
2021-05-28;130779000;132309000;130006000;132046000;76885000
2021-05-31;132665000;132805000;130756000;132805000;73718000
2021-06-01;132947000;134634000;132884000;133778000;62942000
2021-06-02;133778000;134498000;133082000;134078000;80524000
2021-06-03;134521000;136600000;134521000;136428000;89888000
2021-06-04;136706000;137405000;136042000;137405000;94333000
2021-06-07;137459000;137574000;134721000;135878000;87669000
2021-06-08;135536000;136448000;131811000;131988000;92451000
2021-06-09;132352000;133914000;131208000;133290000;82229000
2021-06-10;133290000;133671000;131749000;132358000;72349000
2021-06-11;132679000;135247000;132208000;135174000;73126000
2021-06-14;135273000;136853000;135273000;136172000;77573000
2021-06-15;136158000;137272000;135659000;136736000;73094000
2021-06-16;136385000;137014000;135073000;135652000;76963000
2021-06-17;134106000;136455000;133749000;135992000;76873000
2021-06-18;136619000;137777000;136352000;137777000;80947000
2021-06-21;137359000;138174000;136785000;137263000;76818000
2021-06-22;138084000;138598000;137500000;137997000;74695000
2021-06-23;138315000;138833000;137206000;137687000;71077000
2021-06-24;137687000;138471000;137299000;137972000;59175000
2021-06-25;138211000;139012000;137280000;139012000;59811000
2021-06-28;139796000;140602000;139056000;140581000;69951000
2021-06-29;140834000;141634000;140687000;141004000;64739000
2021-06-30;141083000;141961000;140818000;140855000;59529000
2021-07-01;141215000;141727000;140218000;141708000;75356000
2021-07-02;142289000;142428000;141582000;142027000;70683000
2021-07-05;142027000;142152000;139412000;141113000;77445000
2021-07-06;141113000;141899000;135479000;135479000;77351000
2021-07-07;135479000;138855000;133458000;138855000;73380000
2021-07-08;138855000;138855000;136392000;137468000;52883000
2021-07-09;137468000;137468000;133590000;134714000;71399000
2021-07-12;134714000;134714000;127006000;129630000;91274000
2021-07-13;129630000;130773000;127830000;129754000;50018000
2021-07-14;129754000;130537000;126468000;127991000;54797000
2021-07-15;127991000;129918000;127077000;129392000;41914000
2021-07-16;129392000;130437000;129392000;129931000;41512000
2021-07-19;129931000;129931000;123779000;124351000;73102000
2021-07-20;124351000;127329000;122552000;127329000;56860000
2021-07-21;127329000;128433000;126671000;127079000;45195000
2021-07-22;127079000;129416000;126654000;129367000;53641000
2021-07-23;129367000;129563000;126883000;126883000;58225000
2021-07-26;126883000;127733000;125457000;127271000;50855000
2021-07-27;127271000;128835000;127271000;127693000;56675000
2021-07-28;127693000;128117000;127178000;127707000;40689000
2021-07-29;127707000;129360000;127707000;129360000;49106000
2021-07-30;129360000;131197000;129360000;131005000;64444000
2021-08-02;131005000;132235000;130449000;131422000;61453000
2021-08-03;131422000;133244000;131422000;133244000;64701000
2021-08-04;133244000;134076000;132840000;133474000;66180000
2021-08-05;133474000;134662000;132680000;134555000;63547000
2021-08-06;134555000;135185000;134145000;134145000;73616000
2021-08-09;134145000;136112000;133469000;135986000;68843000
2021-08-10;135986000;137035000;135812000;136243000;71654000
