Date;Open;High;Low;Close;Vol
2013-01-30;48760000;48667000;49089000;48276000;83260
2013-01-31;47979000;48404000;48519000;47979000;80500
2013-02-01;48342000;47711000;48342000;47323000;76850
2013-02-04;48238000;48706000;48896000;48238000;56880
2013-02-05;47736000;48182000;48256000;47736000;63410
2013-02-06;48836000;47962000;48862000;47962000;65150
2013-02-07;49062000;49088000;49372000;48803000;73010
2013-02-08;49403000;49185000;49572000;48964000;60720
2013-02-18;49395000;49787000;49787000;49395000;69420
2013-02-19;49078000;49340000;49539000;49033000;104490
2013-02-20;49483000;48799000;49582000;48768000;78550
2013-02-21;47673000;49483000;49770000;47673000;123310
2013-02-22;47769000;48203000;48711000;47023000;107350
2013-02-25;48369000;48167000;48397000;47830000;49620
2013-02-26;46505000;48250000;48250000;46364000;93970
2013-02-27;46572000;46589000;46750000;45964000;71440
2013-02-28;47456000;46572000;47641000;46572000;53250
2013-03-01;47715000;47651000;48039000;47546000;55930
2013-03-04;46874000;47704000;47906000;46874000;74560
2013-03-05;46212000;46736000;46784000;46161000;59790
2013-03-06;47109000;46696000;47109000;46419000;35560
2013-03-07;46663000;47073000;47254000;46663000;46950
2013-03-08;47068000;46810000;47175000;46810000;31770
2013-03-11;47650000;47129000;47679000;46978000;56610
2013-03-12;47534000;47523000;47867000;47051000;60260
2013-03-13;47318000;47643000;47805000;47185000;50260
2013-03-14;47460000;47163000;47460000;47081000;46720
2013-03-15;48135000;47499000;48135000;47445000;74400
2013-03-18;47913000;48153000;48259000;47854000;49140
2013-03-19;48048000;47845000;48221000;47755000;35320
2013-03-20;48704000;48188000;48894000;48053000;52320
2013-03-21;49179000;48864000;49457000;48843000;57180
2013-03-22;48999000;49288000;50059000;48615000;54550
2013-03-25;49357000;49176000;49564000;48855000;38340
2013-03-26;48946000;49419000;49632000;48914000;47040
2013-03-27;49126000;48930000;49246000;48534000;38970
2013-03-28;49067000;49164000;49512000;48767000;45820
2013-03-29;49104000;48701000;49296000;48350000;38990
2013-04-01;50581000;49066000;50581000;48990000;55430
2013-04-02;50943000;50731000;51410000;50722000;70260
2013-04-03;50593000;50929000;51159000;50238000;57120
2013-04-04;49735000;50554000;50663000;49735000;52180
2013-04-05;50258000;50116000;50336000;49783000;48750
2013-04-08;50666000;50500000;50775000;50191000;52180
2013-04-09;51049000;50509000;51285000;50416000;60760
2013-04-10;49650000;51215000;51846000;49650000;69180
2013-04-11;50407000;50139000;50451000;49708000;52040
2013-04-12;49427000;50537000;50590000;49082000;52310
2013-04-15;48002000;49165000;49177000;47880000;54830
2013-04-16;47807000;47507000;47997000;46656000;58210
2013-04-17;48399000;48217000;48399000;47653000;30050
2013-04-18;47321000;48399000;48399000;47110000;38520
2013-04-22;46843000;47181000;47295000;46678000;39690
2013-04-23;47369000;47059000;47548000;46913000;34010
2013-04-24;47289000;47448000;47575000;47289000;32850
2013-04-25;47659000;47487000;47780000;47429000;37110
2013-04-26;47451000;47704000;47912000;47443000;31270
2013-05-02;47302000;47454000;47642000;47216000;25840
2013-05-03;47524000;47114000;47524000;47081000;26290
2013-05-06;48832000;47894000;48832000;47894000;52990
2013-05-07;48558000;48935000;49156000;48439000;58060
2013-05-08;48507000;48674000;48804000;48303000;63520
2013-05-09;48622000;48544000;48857000;48520000;101300
2013-05-10;48610000;48810000;49076000;48475000;85570
2013-05-13;48893000;48696000;49038000;48696000;45490
2013-05-14;48385000;48694000;48745000;48079000;46530
2013-05-15;48597000;48282000;48752000;48180000;37550
2013-05-16;49034000;48600000;49144000;48528000;49810
2013-05-17;48760000;48999000;49185000;48760000;50050
2013-05-20;49227000;48771000;49296000;48542000;48670
2013-05-21;50018000;49609000;50260000;49595000;88740
2013-05-22;50223000;50323000;50468000;50144000;66880
2013-05-23;49822000;50115000;50658000;49822000;80020
2013-05-24;50024000;49877000;50360000;49596000;62520
2013-05-27;51241000;50438000;51608000;50438000;93330
2013-05-28;51633000;51562000;51797000;51281000;87430
2013-05-29;51509000;51791000;52036000;51131000;99720
2013-05-30;52145000;51718000;52145000;51368000;75590
2013-05-31;51839000;52658000;52658000;51839000;150130
2013-06-03;51703000;51830000;52135000;51664000;75930
2013-06-04;51069000;51703000;52196000;51069000;78930
2013-06-05;51464000;51237000;51464000;50886000;56290
2013-06-06;52090000;51343000;52128000;51316000;72250
2013-06-07;52797000;52321000;52797000;52319000;74550
2013-06-10;52456000;53097000;53315000;52456000;94170
2013-06-11;52195000;52520000;52568000;52094000;68050
2013-06-12;51824000;52121000;52491000;51824000;70560
2013-06-13;51509000;51828000;51954000;51007000;62540
2013-06-14;50903000;51714000;51800000;50903000;60670
2013-06-17;49852000;51052000;51123000;49831000;75810
2013-06-18;49888000;49706000;50054000;49550000;55770
2013-06-19;50337000;50158000;50411000;50061000;43060
2013-06-20;49951000;50222000;50375000;49855000;49470
2013-06-21;49884000;49730000;50125000;49523000;94150
2013-06-24;48974000;50044000;50114000;48741000;58310
2013-06-25;47302000;48704000;48855000;46678000;86820
2013-06-26;47353000;47326000;47647000;46641000;66680
2013-06-27;48295000;47633000;48295000;47500000;46020
2013-06-28;48113000;48484000;48594000;47994000;62410
2013-07-01;48004000;47898000;48203000;47526000;35060
2013-07-02;48984000;48072000;49014000;48072000;37840
2013-07-03;48735000;48984000;49293000;48711000;45910
2013-07-04;48722000;48923000;49065000;48649000;39430
2013-07-05;48566000;48806000;48999000;48522000;38320
2013-07-08;48277000;48524000;48595000;48058000;40650
2013-07-09;48550000;48396000;48550000;48114000;29840
2013-07-10;48443000;48781000;48983000;48443000;32640
2013-07-11;48447000;48438000;48544000;48211000;35040
2013-07-12;49399000;48514000;49399000;48513000;51910
2013-07-15;49410000;49612000;49832000;49295000;43480
2013-07-16;49622000;49466000;49783000;49374000;42320
2013-07-17;49750000;49638000;49842000;49337000;42120
2013-07-18;49684000;49568000;50051000;49423000;53150
2013-07-19;50376000;49964000;50538000;49928000;48110
2013-07-22;50616000;50511000;50771000;50163000;54390
2013-07-23;50429000;50616000;50864000;50422000;53030
2013-07-24;49418000;50367000;50427000;49336000;60420
