Date;Open;High;Low;Price;Vol.
1/17/2018;1,061.98;1,064.77;1,034.69;1,034.69;332.61K
1/18/2018;1,028.76;1,050.25;1,020.01;1,050.25;281.60K
1/19/2018;1,054.33;1,067.21;1,053.37;1,062.07;342.47K
1/22/2018;1,066.86;1,088.05;1,066.61;1,087.42;266.11K
1/23/2018;1,066.86;1,088.05;1,066.61;1,087.42;266.11K
1/25/2018;1,098.44;1,117.08;1,098.44;1,104.57;510.92K
1/26/2018;1,119.78;1,123.83;1,103.06;1,115.64;292.97K
1/29/2018;1,121.78;1,130.10;1,109.80;1,109.80;276.73K
1/30/2018;1,099.98;1,110.56;1,092.44;1,110.56;335.41K
1/31/2018;1,112.23;1,128.10;1,104.98;1,110.36;351.21K
2018-01-02;1,111.74;1,111.74;1,090.25;1,099.67;269.17K
2018-02-02;1,098.66;1,105.04;1,091.06;1,105.04;200.31K
2018-05-02;1,089.62;1,090.88;1,048.71;1,048.71;282.04K
2018-06-02;1,026.08;1,026.08;983.06;1,011.60;480.71K
2018-07-02;1,040.53;1,048.54;1,034.13;1,040.55;241.18K
2018-08-02;1,031.46;1,039.61;1,023.25;1,023.25;181.50K
2018-09-02;991.09;1,003.94;973.78;1,003.94;243.23K
2018-12-02;1,011.64;1,041.79;1,011.64;1,041.79;171.10K
2/13/2018;1,053.31;1,060.48;1,052.86;1,059.73;174.29K
2/21/2018;1,073.33;1,092.65;1,070.43;1,087.15;177.57K
2/22/2018;1,087.15;1,091.62;1,074.27;1,076.03;200.37K
2/23/2018;1,086.81;1,102.85;1,081.31;1,102.85;189.08K
2/26/2018;1,115.90;1,127.57;1,114.06;1,114.53;234.11K
2/27/2018;1,124.03;1,124.03;1,106.77;1,119.61;196.67K
2/28/2018;1,110.30;1,129.89;1,109.89;1,121.54;232.59K
2018-01-03;1,121.54;1,129.30;1,110.92;1,115.79;227.40K
2018-02-03;1,103.16;1,121.91;1,103.16;1,121.21;210.07K
2018-05-03;1,121.21;1,132.69;1,093.48;1,093.48;277.68K
2018-06-03;1,093.48;1,120.29;1,091.67;1,120.29;236.33K
2018-07-03;1,121.99;1,126.67;1,103.29;1,112.26;279.08K
2018-08-03;1,112.24;1,126.35;1,111.76;1,124.15;200.92K
2018-09-03;1,128.73;1,135.02;1,119.18;1,123.41;217.76K
2018-12-03;1,135.37;1,135.48;1,123.98;1,126.29;244.68K
3/13/2018;1,126.53;1,133.31;1,118.49;1,133.31;233.20K
3/14/2018;1,135.99;1,142.88;1,134.55;1,138.09;250.55K
3/15/2018;1,134.51;1,140.74;1,129.66;1,138.76;232.40K
3/16/2018;1,144.54;1,152.52;1,140.56;1,150.19;308.62K
3/19/2018;1,158.16;1,165.63;1,155.82;1,159.22;272.05K
3/20/2018;1,154.48;1,166.33;1,154.48;1,159.39;214.04K
3/21/2018;1,166.51;1,172.31;1,163.91;1,169.36;237.68K
3/22/2018;1,175.22;1,180.44;1,169.48;1,172.36;233.32K
3/23/2018;1,154.25;1,157.20;1,138.53;1,153.59;261.96K
3/26/2018;1,150.51;1,176.95;1,150.51;1,171.22;211.70K
3/27/2018;1,187.42;1,187.42;1,169.58;1,171.73;237.76K
3/28/2018;1,168.87;1,179.18;1,165.71;1,172.24;208.55K
3/29/2018;1,174.73;1,176.45;1,164.12;1,167.03;185.25K
3/30/2018;1,169.29;1,175.36;1,158.49;1,174.46;204.90K
2018-02-04;1,180.26;1,196.61;1,179.73;1,196.61;245.76K
2018-03-04;1,197.00;1,199.93;1,185.83;1,188.29;255.24K
2018-04-04;1,194.26;1,200.71;1,189.46;1,191.54;238.69K
2018-05-04;1,197.76;1,199.15;1,186.75;1,193.17;241.19K
2018-06-04;1,194.15;1,202.59;1,194.15;1,199.96;252.06K
2018-09-04;1,202.44;1,207.45;1,197.44;1,204.33;251.45K
2018-10-04;1,207.62;1,211.34;1,192.22;1,198.12;286.73K
2018-11-04;1,201.51;1,202.46;1,167.11;1,167.11;286.08K
2018-12-04;1,162.48;1,173.02;1,153.64;1,173.02;179.99K
4/13/2018;1,178.57;1,181.52;1,153.93;1,157.14;196.13K
4/16/2018;1,156.54;1,159.45;1,141.81;1,148.49;196.99K
4/17/2018;1,149.02;1,156.70;1,139.33;1,153.28;175.76K
4/18/2018;1,153.28;1,160.32;1,138.42;1,138.53;172.11K
4/19/2018;1,137.99;1,137.99;1,094.63;1,094.63;204.01K
4/20/2018;1,095.84;1,119.86;1,078.01;1,119.86;214.65K
4/23/2018;1,124.33;1,127.24;1,076.78;1,076.78;217.97K
4/24/2018;1,064.86;1,084.89;1,048.68;1,080.74;186.61K
4/26/2018;1,082.52;1,082.52;1,039.35;1,044.86;208.48K
4/27/2018;1,037.36;1,054.94;1,031.89;1,050.26;191.60K
2018-02-05;1,053.26;1,053.52;1,024.75;1,029.08;183.26K
2018-03-05;1,018.47;1,027.38;1,003.79;1,026.46;203.56K
2018-04-05;1,032.12;1,037.02;1,022.10;1,026.80;163.07K
2018-07-05;1,034.64;1,062.26;1,028.79;1,062.26;155.13K
2018-08-05;1,061.12;1,072.28;1,057.24;1,060.45;170.06K
2018-09-05;1,058.33;1,069.80;1,051.79;1,056.97;161.33K
2018-10-05;1,058.22;1,059.34;1,025.75;1,028.87;204.94K
2018-11-05;1,026.34;1,044.85;1,014.30;1,044.85;134.82K
5/14/2018;1,051.69;1,066.98;1,042.31;1,066.98;137.94K
5/15/2018;1,072.25;1,084.20;1,071.02;1,073.50;158.35K
5/16/2018;1,073.50;1,073.50;1,052.18;1,054.62;150.05K
5/17/2018;1,055.21;1,057.84;1,030.64;1,030.64;129.62K
5/18/2018;1,033.33;1,040.84;1,013.57;1,040.54;408.22K
5/21/2018;1,043.82;1,043.82;1,014.98;1,014.98;123.09K
5/22/2018;1,006.18;1,015.97;976.73;985.91;180.49K
5/23/2018;974.8;995.25;965.92;988.94;182.16K
5/24/2018;992.24;995.82;974.14;985.92;129.29K
5/25/2018;981.47;987.56;963.9;963.9;150.25K
5/28/2018;938.86;951.34;927.47;931.75;219.29K
5/29/2018;925.89;958.96;916;952.18;183.99K
5/30/2018;953.41;953.41;932.26;948.5;146.25K
5/31/2018;947.96;975.51;945.29;971.25;182.04K
2018-01-06;973.67;995.06;973.56;992.87;204.09K
2018-04-06;994.48;1,013.78;992.01;1,013.78;166.09K
2018-05-06;1,013.59;1,025.26;1,011.59;1,022.74;212.46K
2018-06-06;1,020.97;1,034.50;1,012.98;1,034.50;162.08K
2018-07-06;1,038.93;1,043.71;1,030.79;1,036.69;173.15K
2018-08-06;1,032.59;1,039.07;1,026.94;1,039.01;148.15K
2018-11-06;1,033.55;1,045.60;1,029.19;1,039.02;185.55K
2018-12-06;1,033.55;1,033.55;1,005.10;1,020.76;212.48K
6/13/2018;1,017.93;1,030.53;1,017.93;1,030.53;116.06K
6/14/2018;1,030.53;1,033.46;1,015.72;1,015.72;166.57K
6/15/2018;1,012.71;1,018.95;1,006.75;1,016.51;165.43K
6/18/2018;1,016.51;1,018.98;986.88;987.34;181.39K
6/19/2018;972.38;972.62;941.57;962.16;250.99K
6/20/2018;957.37;980.95;955.61;980.95;154.07K
6/21/2018;979.57;979.57;966.28;969.4;117.05K
6/22/2018;963.89;983.57;959.91;983.17;132.36K
6/25/2018;997.34;997.34;988.98;990.52;142.09K
6/26/2018;977.78;983.78;970.75;983.02;165.38K
6/27/2018;981.44;984.46;968.91;968.91;179.45K
6/28/2018;964.76;976.12;954.46;957.35;159.07K
6/29/2018;955.64;962.93;950.48;960.78;146.41K
2018-02-07;955.18;956.78;932.66;947.15;168.21K
2018-03-07;945.87;946.16;906.01;906.01;180.70K
2018-04-07;904.34;914.99;890.83;914.99;128.08K
2018-05-07;914.48;921.85;892.67;899.4;143.00K
2018-06-07;891.16;921.75;884.99;917.51;159.16K
2018-09-07;922.72;929.5;915.12;915.12;119.91K
2018-10-07;919.44;921.96;911.12;911.12;118.44K
2018-11-07;898.08;900.16;885.09;893.16;158.65K
2018-12-07;891.21;905.72;884.75;898.51;113.78K
7/13/2018;904.8;912.53;899.94;909.72;140.42K
7/16/2018;914.22;917.63;905.27;911.11;136.24K
7/17/2018;905.32;921.27;902.02;921.27;155.86K
7/18/2018;926.14;942.39;926.14;942.39;223.94K
7/19/2018;942.39;947.07;939.58;943.97;199.21K
7/20/2018;938.83;941.94;930.26;933.39;204.00K
7/23/2018;931.52;949.14;930.25;936.74;208.56K
